created_at,entry_id,field1,field2
2025-11-22 08:29:19 UTC,19654133,0.000000,0.000000
2025-11-22 08:29:35 UTC,19654134,0.000000,2.000000
2025-11-22 08:29:50 UTC,19654135,0.000000,1.000000
2025-11-22 08:30:06 UTC,19654136,0.000000,0.000000
2025-11-22 08:30:22 UTC,19654137,0.000000,0.000000
2025-11-22 08:30:38 UTC,19654138,4.000000,3.000000
2025-11-22 08:30:53 UTC,19654139,0.000000,1.000000
2025-11-22 08:31:09 UTC,19654140,2.000000,1.000000
2025-11-22 08:31:24 UTC,19654141,2.000000,1.000000
2025-11-22 08:31:40 UTC,19654142,0.000000,4.000000
2025-11-22 08:31:55 UTC,19654143,0.000000,0.000000
2025-11-22 08:32:11 UTC,19654144,0.000000,0.000000
2025-11-22 08:32:27 UTC,19654145,0.000000,0.000000
2025-11-22 08:32:42 UTC,19654146,0.000000,0.000000
2025-11-22 08:32:58 UTC,19654147,0.000000,0.000000
2025-11-22 08:33:13 UTC,19654148,2.000000,1.000000
2025-11-22 08:33:29 UTC,19654149,3.000000,2.000000
2025-11-22 08:33:45 UTC,19654150,2.000000,0.000000
2025-11-22 08:34:01 UTC,19654151,0.000000,0.000000
2025-11-22 08:34:17 UTC,19654152,0.000000,0.000000
2025-11-22 08:34:33 UTC,19654153,1.000000,5.000000
2025-11-22 08:34:48 UTC,19654154,3.000000,2.000000
2025-11-22 08:35:03 UTC,19654155,0.000000,4.000000
2025-11-22 08:35:19 UTC,19654156,0.000000,0.000000
2025-11-22 08:35:35 UTC,19654157,0.000000,3.000000
2025-11-22 08:35:51 UTC,19654158,0.000000,0.000000
2025-11-22 08:36:06 UTC,19654159,1.000000,0.000000
2025-11-22 08:36:22 UTC,19654160,2.000000,4.000000
2025-11-22 08:36:37 UTC,19654161,2.000000,12.000000
2025-11-22 08:36:53 UTC,19654162,1.000000,0.000000
2025-11-22 08:37:08 UTC,19654163,0.000000,0.000000
2025-11-22 08:37:24 UTC,19654164,0.000000,5.000000
2025-11-22 08:37:39 UTC,19654165,4.000000,3.000000
2025-11-22 08:37:54 UTC,19654166,0.000000,1.000000
2025-11-22 08:38:10 UTC,19654167,2.000000,0.000000
2025-11-22 08:38:26 UTC,19654168,0.000000,1.000000
2025-11-22 08:38:42 UTC,19654169,4.000000,4.000000
2025-11-22 08:38:57 UTC,19654170,2.000000,0.000000
2025-11-22 08:39:13 UTC,19654171,3.000000,0.000000
2025-11-22 08:39:29 UTC,19654172,2.000000,0.000000
2025-11-22 08:39:44 UTC,19654173,1.000000,6.000000
2025-11-22 08:40:00 UTC,19654174,0.000000,0.000000
2025-11-22 08:40:15 UTC,19654175,0.000000,0.000000
2025-11-22 08:40:31 UTC,19654176,1.000000,1.000000
2025-11-22 08:40:46 UTC,19654177,1.000000,5.000000
2025-11-22 08:41:02 UTC,19654178,0.000000,0.000000
2025-11-22 08:41:17 UTC,19654179,0.000000,0.000000
2025-11-22 08:41:33 UTC,19654180,1.000000,0.000000
2025-11-22 08:41:49 UTC,19654181,2.000000,5.000000
2025-11-22 08:42:04 UTC,19654182,1.000000,0.000000
2025-11-22 08:42:20 UTC,19654183,0.000000,6.000000
2025-11-22 08:42:35 UTC,19654184,0.000000,1.000000
2025-11-22 08:42:51 UTC,19654185,0.000000,1.000000
2025-11-22 08:43:06 UTC,19654186,1.000000,2.000000
2025-11-22 08:43:22 UTC,19654187,6.000000,1.000000
2025-11-22 08:43:37 UTC,19654188,0.000000,0.000000
2025-11-22 08:43:53 UTC,19654189,4.000000,0.000000
2025-11-22 08:44:08 UTC,19654190,0.000000,0.000000
2025-11-22 08:44:24 UTC,19654191,2.000000,0.000000
2025-11-22 08:44:39 UTC,19654192,0.000000,0.000000
2025-11-22 08:44:54 UTC,19654193,0.000000,0.000000
2025-11-22 08:45:10 UTC,19654194,4.000000,0.000000
2025-11-22 08:45:26 UTC,19654195,0.000000,0.000000
2025-11-22 08:45:41 UTC,19654196,1.000000,0.000000
2025-11-22 08:45:57 UTC,19654197,0.000000,0.000000
2025-11-22 08:46:13 UTC,19654198,4.000000,0.000000
2025-11-22 08:46:28 UTC,19654199,0.000000,0.000000
